epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.757,1.38361,2.46137,1.25844,0.65329,0.45034,0.4586,0.27397,1.28426,1.42061,1.03455,0.00332718,0.00332718,0.00332718
2,500.04,1.03772,1.41253,1.018,0.7331,0.56937,0.61741,0.39729,1.11082,1.06652,0.94287,0.00649567,0.00649567,0.00649567
3,730.138,0.93721,1.11962,0.97078,0.64282,0.49289,0.55594,0.35463,1.17778,1.21188,0.95545,0.00949915,0.00949915,0.00949915
4,960.08,0.83426,0.89967,0.93657,0.62414,0.59849,0.64574,0.43198,1.07787,1.10464,0.9025,0.0092575,0.0092575,0.0092575
5,1188.59,0.75374,0.77378,0.91523,0.73647,0.57272,0.65889,0.43621,1.05623,1.04534,0.92283,0.00901,0.00901,0.00901
6,1417.01,0.70319,0.71909,0.90365,0.79618,0.74442,0.81596,0.59416,0.86494,0.71235,0.84106,0.0087625,0.0087625,0.0087625
7,1645.14,0.66981,0.67385,0.89536,0.81062,0.74375,0.81992,0.59796,0.91325,0.70363,0.83822,0.008515,0.008515,0.008515
8,1873.3,0.64293,0.64797,0.88938,0.8048,0.71918,0.79603,0.57519,0.91063,0.72695,0.84041,0.0082675,0.0082675,0.0082675
9,2101,0.62388,0.62797,0.88407,0.84525,0.78836,0.86203,0.65247,0.81512,0.6067,0.82139,0.00802,0.00802,0.00802
10,2329.03,0.61793,0.61691,0.88171,0.85368,0.79136,0.87354,0.66221,0.83933,0.61398,0.8275,0.0077725,0.0077725,0.0077725
11,2555.03,0.60147,0.6006,0.8787,0.85137,0.79368,0.87255,0.65198,0.87057,0.60516,0.82851,0.007525,0.007525,0.007525
12,2781.6,0.58977,0.5902,0.87598,0.85318,0.81311,0.8818,0.6686,0.83159,0.59111,0.82779,0.0072775,0.0072775,0.0072775
13,3009.05,0.5804,0.5766,0.87367,0.87089,0.809,0.88507,0.67326,0.84209,0.57857,0.82149,0.00703,0.00703,0.00703
14,3235.71,0.57284,0.57548,0.87027,0.87064,0.81608,0.89026,0.67172,0.8473,0.57342,0.82194,0.0067825,0.0067825,0.0067825
15,3463.84,0.56788,0.56527,0.86859,0.87734,0.81206,0.89247,0.67565,0.85836,0.57271,0.82615,0.006535,0.006535,0.006535
16,3691.78,0.55442,0.55597,0.86822,0.86855,0.82115,0.89782,0.68761,0.8335,0.55453,0.81747,0.0062875,0.0062875,0.0062875
17,3918.83,0.55094,0.5463,0.86551,0.87106,0.82468,0.8974,0.69375,0.79618,0.54783,0.8118,0.00604,0.00604,0.00604
18,4145.03,0.54609,0.54833,0.86571,0.87832,0.82561,0.89976,0.6889,0.83425,0.55644,0.81699,0.0057925,0.0057925,0.0057925
19,4371.1,0.53944,0.53579,0.86469,0.87129,0.83199,0.89996,0.69077,0.83018,0.55503,0.81854,0.005545,0.005545,0.005545
20,4598.07,0.5334,0.53365,0.86302,0.88536,0.83129,0.90313,0.68995,0.84551,0.55497,0.81997,0.0052975,0.0052975,0.0052975
21,4824.8,0.52528,0.52388,0.8599,0.8787,0.84026,0.90584,0.69527,0.83502,0.54885,0.8175,0.00505,0.00505,0.00505
22,5051.22,0.52345,0.52174,0.86085,0.87692,0.83612,0.90678,0.69465,0.83838,0.54978,0.81784,0.0048025,0.0048025,0.0048025
23,5278.16,0.51519,0.51498,0.85782,0.88112,0.84168,0.90652,0.69814,0.82434,0.54095,0.81513,0.004555,0.004555,0.004555
24,5505.58,0.51009,0.51101,0.85675,0.886,0.83822,0.90694,0.69821,0.82869,0.54279,0.81607,0.0043075,0.0043075,0.0043075
25,5732.64,0.50346,0.50472,0.85415,0.88452,0.84354,0.9089,0.70085,0.82163,0.5387,0.8151,0.00406,0.00406,0.00406
26,5959.72,0.50051,0.50384,0.85469,0.88403,0.8427,0.90951,0.70168,0.82322,0.53893,0.81553,0.0038125,0.0038125,0.0038125
27,6185.92,0.48829,0.48703,0.85181,0.88599,0.84399,0.91029,0.70212,0.82332,0.53865,0.8158,0.003565,0.003565,0.003565
28,6412.35,0.48856,0.48935,0.85299,0.88569,0.84509,0.91113,0.70357,0.82156,0.53748,0.81532,0.0033175,0.0033175,0.0033175
29,6639.02,0.48316,0.48366,0.85118,0.8842,0.84875,0.912,0.70359,0.82295,0.538,0.81587,0.00307,0.00307,0.00307
30,6865.62,0.47877,0.47709,0.85035,0.8885,0.8454,0.91244,0.70455,0.82054,0.5367,0.81549,0.0028225,0.0028225,0.0028225
31,7092.43,0.63791,0.47683,0.78256,0.89124,0.84793,0.91393,0.70745,0.81515,0.53148,0.81414,0.002575,0.002575,0.002575
32,7316.73,0.63068,0.46761,0.77892,0.88793,0.85166,0.91443,0.70963,0.81115,0.52795,0.81308,0.0023275,0.0023275,0.0023275
33,7536.18,0.6235,0.46003,0.77758,0.89221,0.84894,0.91487,0.71072,0.81099,0.52675,0.81261,0.00208,0.00208,0.00208
34,7754.61,0.61615,0.44879,0.77573,0.89339,0.84842,0.91537,0.71225,0.80891,0.525,0.81214,0.0018325,0.0018325,0.0018325
35,7971.9,0.6124,0.44335,0.77317,0.89337,0.84943,0.9161,0.7131,0.80664,0.5233,0.81166,0.001585,0.001585,0.001585
36,8190.15,0.60791,0.43385,0.77106,0.89154,0.85194,0.91627,0.71381,0.80438,0.52193,0.81108,0.0013375,0.0013375,0.0013375
37,8407.49,0.5909,0.42465,0.7712,0.89327,0.85073,0.91647,0.71442,0.8028,0.52132,0.81068,0.00109,0.00109,0.00109
38,8625.86,0.58897,0.41543,0.76754,0.89533,0.84965,0.91686,0.71512,0.80226,0.52029,0.81027,0.0008425,0.0008425,0.0008425
39,8842.89,0.58092,0.41023,0.76641,0.89767,0.84771,0.91726,0.71587,0.80128,0.51913,0.80985,0.000595,0.000595,0.000595
40,9062.57,0.57213,0.40097,0.76489,0.89838,0.84748,0.91731,0.71633,0.80076,0.51884,0.80954,0.0003475,0.0003475,0.0003475
